document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
in-flight connectivity (IFC) system to be factory-installed on all new aircraft deliveries,28,0.07,0.90,0.90,0.94
"Poland’s air traffic fell by 38 per cent from February to March, Moore said,",21,-0.01,0.82,0.91,0.70
United Airlines Holdings Inc. and Delta Air Lines Inc. are among carriers cutting back flights to deal with staff shortages,4,0.09,0.86,0.91,0.79
"Air freight capacity has been very tight over the last two years as a consequence of the temporary air traffic collapse caused by the COVID-19 pandemic,",17,0.03,0.85,0.91,0.70
"While travelers across Europe are grappling with disrupted flights amid the staffing crunch and a wave of strikes, the region’s airlines are making money again as travel rebounds from the Covid crisis",32,0.01,0.75,0.91,0.70
This decrease in flight activity impacted the business jet MRO market in 2020,7,0.98,1.00,1.00,0.00
air travel demand rises at Frankfurt,26,0.04,0.77,0.95,0.73
Lufthansa last week announced plans to cut an as-yet-unspecified number of flights between October,2,0.13,0.85,0.92,0.90
"British Airways said last week that it would cut more than 10,000 flights over the winter season, running from Oct 30 through March 25",30,0.11,0.86,0.94,0.66
"British Airways, a unit of International Consolidated Airlines Group SA, last week said it would cut more than 10,000 flights over the winter season, running from Oct. 30 through March 25",30,0.11,0.86,0.94,0.66
"Boeing is looking to expand its supply chain and build an aviation component factory in Viet Nam, which is in line with the city’s investment promotion strategy",39,0.01,0.86,0.91,0.75
"In recent news, Etihad Airways will be increasing flights to New York this winter to offer travellers more choice",35,0.08,0.88,0.91,0.72
"British Airways (BA) has cut 10,000 more flights",7,0.98,1.00,1.00,0.00
Industry projections showed that international air travel would return to pre-pandemic levels in 2023,10,0.10,0.85,0.91,0.59
"Etihad Airways has increased flights to New York, United States",7,0.98,1.00,1.00,0.00
"Rather than increasing the number of passengers flying in the UK, we need to be reducing aviation demand",28,0.07,0.90,0.94,0.89
"that it was cutting flights until March, Ryanair",35,0.08,0.88,0.95,0.77
The airport had previously announced in June that it was moderating the growth in the number of flights after extensive disruption over the platinum jubilee bank holiday,2,0.13,0.85,0.91,0.76
It stated that flights would be reduced from 11 per week to seven per week at the Murtala Muhammed International Airport,12,0.11,0.86,0.95,0.89
"British Airways said yesterday it would cut 10,000 short-haul flights",21,-0.01,0.82,0.91,0.67
It is set to significantly increase the number of domestic flights,22,0.36,0.89,0.94,0.46
British Airways services will be reduced by around one million passengers as the company cuts thousands of flights,12,0.11,0.86,0.91,0.67
The major airline has also announced that it will be cutting thousands of flights from its winter schedule,2,0.13,0.85,0.94,0.49
"relative strength       Tue 23 Adds $44 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
