document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"In addition, it develops synthesize graphene, graphene oxide, and graphene quantum dots for applications of graphene",3,0.02,0.76,0.80,0.96
The company is developing the 12CQ quantum computing chip,20,0.04,0.89,0.96,0.59
CMU-Q's efforts are closely aligned with the GCC's objectives and the Qatar National Vision 2030 to develop human potential across the region,9,-0.08,0.73,0.81,0.95
He was the first to develop a quantum algorithm that,39,0.14,0.93,0.94,0.75
"Their work inspired me to do a little thinking and research on quantum information,” Shor recalls",1,-0.08,0.71,0.85,0.76
CoQREATE will build the research framework for the development of crucial building blocks and infrastructures for a future quantum internet,19,0.03,0.83,0.83,0.96
"in the CQE community, these organizations are developing quantum technology",17,0.14,0.87,0.96,0.63
"Together, Chicago Quantum Exchange institutions and partners advance the science and engineering necessary to build and scale quantum technologies and develop practical applications",20,0.04,0.89,0.81,0.90
QuEra is developing hardware and software with the goal of providing useful quantum computing,20,0.04,0.89,0.96,0.60
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",4,-0.08,0.79,0.88,0.88
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",39,0.14,0.93,0.92,0.79
a key requirement to enable the quantum internet,15,0.02,0.86,0.89,0.70
"outdone, IBM announced in May that it plans on delivering a 4,000-qubit computer by 2025",7,0.03,0.77,0.80,0.64
"Berkeley, California-based Rigetti Computing , which develops circuits for quantum computers and offers",3,0.02,0.76,0.87,0.89
"For instance, there is an impressive project on quantum amplifiers for Polar Express,",2,0.08,0.85,0.85,0.79
The program will prepare students to implement and execute applications on quantum computers or their simulators and understand how various physical implementations of quantum computers affect capabilities and performance,11,-0.08,0.72,0.82,0.90
"We are developing quantum computers designed to solve the world's most complex problems, and transform business, society, and the planet for the better",34,-0.08,0.81,0.92,0.76
we are in the process of researching and developing technologies for quantum computers with increasing computational capabilities,0,-0.04,0.84,0.80,0.91
"We currently make access to our quantum computers available via three major cloud platforms, Amazon Web Services' (""AWS"") Amazon Braket,",30,0.11,0.86,0.87,0.75
our ability to develop our quantum computing program,20,0.04,0.89,0.96,0.68
"We have applied judgement in determining that our QCaaS contracts represent a combined, stand-ready performance obligation to provide access to our quantum computing systems together with related maintenance and support",25,0.03,0.82,0.88,0.80
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,20,0.04,0.89,0.93,0.68
It is focused on developing quantum computers that is designed to solve problems and transform business,34,-0.08,0.81,0.85,0.98
"AITX also expects to publish its comprehensive 10-Q Quarterly Report by October 15, 2022",6,0.27,0.86,0.83,0.68
"The Company expects to publish its comprehensive 10-Q Quarterly Report by September 15, 2022",6,0.27,0.86,0.83,0.68
"The company “continues to invest in long-term projects like quantum computing,” adding that in times of uncertainty, it’s important to be “smart",2,0.08,0.85,0.84,0.96
Another potential application of quantum AI is in financial planning,2,0.08,0.85,0.83,0.96
"Quantum computers, which have seen a recent surge of interest from the tech industry and investors, are at a ""very early stage of development",2,0.08,0.85,0.86,0.91
The start-up QuiX Quantum receives 14 million to develop a first prototype quantum processor based on photonic systems,25,0.03,0.82,0.86,0.84
"growing rapidly, industry experts reckon that it will take at least another 10 years before quantum computers with very large numbers of qubits are available",2,0.08,0.85,0.89,0.99
"to solve a problem, a quantum computer can use qubits to run several calculations",29,0.16,0.86,0.83,0.81
"The current state of research into quantum technologies and their applications is still at an early stage, offering only a partial understanding",2,0.08,0.85,0.92,1.00
"EuroQCI is the European Union’s initiative to build, develop and deploy this pan-European quantum secure",39,0.14,0.93,0.97,0.77
