document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"In addition, it develops synthesize graphene, graphene oxide, and graphene quantum dots for applications of graphene",10,0.06,0.79,0.82,0.94
The company is developing the 12CQ quantum computing chip,30,-0.02,0.90,0.98,0.67
a world-first qubit processor technology that would allow for mobile quantum computing powered devices,3,0.01,0.84,0.84,0.86
CMU-Q's efforts are closely aligned with the GCC's objectives and the Qatar National Vision 2030 to develop human potential across the region,39,0.05,0.85,0.82,0.99
"DATALINK delivers mission-critical services, which combine technical expertise, international best practices and subject matter experts,”       Q",22,0.03,0.79,0.82,0.87
He was the first to develop a quantum algorithm that,8,0.08,0.92,0.92,0.86
Pichai assured that Alphabet would continue to invest in projects like quantum computers,38,-0.05,0.79,0.82,0.98
CoQREATE will build the research framework for the development of crucial building blocks and infrastructures for a future quantum internet,39,0.05,0.85,0.82,0.98
IN-Q and FIFA World Cup Qatar 2022 water bottles are available at all QM gift shops,33,-0.10,0.82,0.81,0.95
"in the CQE community, these organizations are developing quantum technology",39,0.05,0.85,0.95,0.57
"Together, Chicago Quantum Exchange institutions and partners advance the science and engineering necessary to build and scale quantum technologies and develop practical applications",29,0.07,0.85,0.85,0.90
QuEra is developing hardware and software with the goal of providing useful quantum computing,30,-0.02,0.90,0.97,0.73
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",32,-0.01,0.83,0.87,0.92
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",8,0.08,0.92,0.92,0.88
a key requirement to enable the quantum internet,3,0.01,0.84,0.85,0.89
"Sitting before an audience at the World Economic Forum in Davos, Switzerland, three years ago, Alphabet CEO Sundar Pichai said quantum computing has the power to transform humanity’s understanding of the natural world, enabling scientists to create new drugs and better batteries, among other advances",17,0.01,0.75,0.84,0.93
"outdone, IBM announced in May that it plans on delivering a 4,000-qubit computer by 2025",36,0.08,0.83,0.85,0.63
"I’ve seen some amazing advancements in qubit fidelity,” Karagiannis said in an interview",18,0.02,0.85,0.81,0.85
"Berkeley, California-based Rigetti Computing , which develops circuits for quantum computers and offers",10,0.06,0.79,0.85,0.93
"For instance, there is an impressive project on quantum amplifiers for Polar Express,",34,0.09,0.84,0.86,0.90
The program will prepare students to implement and execute applications on quantum computers or their simulators and understand how various physical implementations of quantum computers affect capabilities and performance,37,-0.06,0.76,0.83,0.84
"We are developing quantum computers designed to solve the world's most complex problems, and transform business, society, and the planet for the better",39,0.05,0.85,0.85,0.97
we are in the process of researching and developing technologies for quantum computers with increasing computational capabilities,28,0.01,0.88,0.84,0.98
"We currently make access to our quantum computers available via three major cloud platforms, Amazon Web Services' (""AWS"") Amazon Braket,",38,-0.05,0.79,0.85,0.81
our ability to develop our quantum computing program,30,-0.02,0.90,0.94,0.72
"We have applied judgement in determining that our QCaaS contracts represent a combined, stand-ready performance obligation to provide access to our quantum computing systems together with related maintenance and support",21,0.02,0.87,0.89,0.90
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,30,-0.02,0.90,0.92,0.74
It is focused on developing quantum computers that is designed to solve problems and transform business,24,0.11,0.85,0.86,0.95
"the original mission of an enterprise is to contribute to the development of society by supplying products and services of superior q uality that are useful in people's lives, at reasonable prices, in appropriate amounts",12,0.02,0.87,0.88,0.76
"The company “continues to invest in long-term projects like quantum computing,” adding that in times of uncertainty, it’s important to be “smart",8,0.08,0.92,0.86,0.93
Another potential application of quantum AI is in financial planning,28,0.01,0.88,0.82,0.99
"Quantum computers, which have seen a recent surge of interest from the tech industry and investors, are at a ""very early stage of development",28,0.01,0.88,0.86,0.97
The start-up QuiX Quantum receives 14 million to develop a first prototype quantum processor based on photonic systems,21,0.02,0.87,0.85,0.98
"growing rapidly, industry experts reckon that it will take at least another 10 years before quantum computers with very large numbers of qubits are available",28,0.01,0.88,0.88,0.99
"to solve a problem, a quantum computer can use qubits to run several calculations",35,0.14,0.84,0.83,0.85
"The current state of research into quantum technologies and their applications is still at an early stage, offering only a partial understanding",28,0.01,0.88,0.93,0.83
"EuroQCI is the European Union’s initiative to build, develop and deploy this pan-European quantum secure",8,0.08,0.92,0.97,0.75
The Business Potential Of Quantum Computing looks at the use cases for quantum computing (QC) as it develops and becomes commercially available,39,0.05,0.85,0.87,0.99
our newest 55-inch QLED 4K TV which is equipped with our flagship Quantum DOT technology,19,-0.00,0.86,0.88,0.90
Horizons in Physics Prize from the Breakthrough Prize Foundation for his work in advancing the control of atoms and molecules to improve atomic clocks and quantum information processing,9,0.04,0.78,0.82,0.91
"D-Wave Quantum Inc develops and delivers quantum computing systems, software, and services worldwide",39,0.05,0.85,0.84,0.90
"However, other applications are also being developed in thermal management, optics, quantum computing, high-power electronics and diamond detectors",10,0.06,0.79,0.85,0.94
key requirement to enable the quantum internet,3,0.01,0.84,0.85,0.89
"Rating)       D-Wave Quantum Inc develops and delivers quantum computing systems, software, and services worldwide",39,0.05,0.85,0.84,0.90
adoption of quantum computing by financial services companies,32,-0.01,0.83,0.80,0.92
"According to Gartner, 40% of large companies are planning to create initiatives around quantum computing by 2025, but even with accelerator programmes and research and development budgets, very specific use cases are still proving hard to identify",14,-0.02,0.74,0.86,0.95
"Financial services, particularly those which work across multiple markets, stand to benefit greatly from efficiencies enabled by quantum computing given that it enables the modelling of multiple permutations of different scenarios or values to solve the most efficient outcomes in a fraction of the time it would take classical computing",14,-0.02,0.74,0.88,0.81
"He has been an independent math and acoustical physics research scientist for nearly two decades, studying concepts from quantum computation to cymatics and fluid dynamics",34,0.09,0.84,0.90,0.81
adoption of quantum computing by monetary companies firms,14,-0.02,0.74,0.81,0.96
"In line with Gartner, 40% of huge firms are planning to create initiatives round quantum computing by 2025, however even with accelerator programmes and analysis and improvement budgets, very particular use instances are nonetheless proving onerous",14,-0.02,0.74,0.86,0.94
they are currently investing in quantum computing technology and 43% said they,18,0.02,0.85,0.82,0.90
A quantum computer uses qubits (quantum bits) that enable bits of information,3,0.01,0.84,0.81,0.89
The company builds quantum computers and the superconducting quantum processors that power them,29,0.07,0.85,0.95,0.52
"EuroQCI is a European Union initiative to build, develop and deploy this pan-European quantum secure",8,0.08,0.92,0.97,0.75
"Meanwhile, the Defense Ministry’s Directorate of Defense Research and Development (DDR&D) will establish a national center with quantum capabilities that will work with academia, industry, and government partners to develop a quantum processor and a complete quantum computer",0,-0.00,0.76,0.83,0.85
"Quantum Machines, together with a consortium of Israeli and international quantum tech companies at the center, will build a quantum computer to be made available",29,0.07,0.85,0.88,0.96
"Thus, the demand for quantum sensors is expected to grow in critical applications such as aerospace, military",14,-0.02,0.74,0.81,0.93
Samsung is Using Quantum Computing to Research Better,31,0.01,0.78,0.92,0.73
The quantum community is working hard to optimize quantum memories as part of the effort to build future quantum networks,29,0.07,0.85,0.89,0.98
"that it has entered into a multi-year collaboration with ITRI to develop energy efficient post-quantum hardware solutions for applications in blockchain, telecom, and other industries with a need for long-term data security",14,-0.02,0.74,0.81,0.93
"Shor developed the first potentially useful quantum algorithm,",30,-0.02,0.90,0.95,0.78
"IBM’s breakthrough innovations in AI, quantum computing, industry-specific cloud solutions, and consulting provide clients with open and flexible options",22,0.03,0.79,0.83,0.96
"The new collaboration will promote joint research projects on quantum technologies and quantum data science, faculty exchange programs, and joint conferences, aiming to expand quantum research and develop new applications in this field",0,-0.00,0.76,0.84,0.91
Entanglement is a significant difference from classical computing and enables quantum computers to perform complex computations more efficiently,37,-0.06,0.76,0.89,0.90
it presents the go-to choice for many small scale qubit systems and is commonly,2,0.01,0.91,0.91,0.80
"Moreover, developing algorithms on the basis of small qubit systems is a commonplace way of forming a basis for algorithms for larger multi-qubit systems",34,0.09,0.84,0.88,0.97
quantum systems’ research and understanding noise in quantum systems is a vast and highly specialised topic,28,0.01,0.88,0.87,0.98
"In this Q&A, Jim, and Patrick Moorhead, Principal Analyst at Moor Insights & Strategy, will discuss the industry trends making reprogrammability and flexibility essential for Edge computing applications across the Communications, Computing, Industrial",0,-0.00,0.76,0.82,0.85
A key requirement to enable the quantum internet,3,0.01,0.84,0.85,0.89
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",32,-0.01,0.83,0.87,0.92
"billions of dollars pour into quantum computing and countries build communication networks secured by quantum encryption,",0,-0.00,0.76,0.84,0.95
"While Bennett and Brassard developed quantum cryptography, another radical idea was beginning to emerge",1,-0.06,0.79,0.83,0.98
"After a slow ramp across a quantum critical point, the system develops a quantum superposition of ferromagnetic domains",10,0.06,0.79,0.82,0.94
"the truth is that there will be no quantum cliff in which today's encryption mechanisms will suddenly become obsolete, says Dr. Colin Soutar, the US quantum cyber-readiness leader and managing director for Deloitte Risk & Financial Advisory, which just released a report on quantum encryption",19,-0.00,0.86,0.89,0.85
"binary, quantum computing is not limited",20,0.03,0.73,0.82,0.95
"a Q&A residents criticized county officials, saying they are not being responsive to citizens questions and needs and mismanaging their own budget",19,-0.00,0.86,0.83,0.89
There will be time at the end of the program for a Q&A session with the panelists,33,-0.10,0.82,0.88,0.73
Horizons in Physics Prize from the Breakthrough Prize Foundation  for his work in advancing the control of atoms and molecules to improve atomic clocks and quantum information processing,9,0.04,0.78,0.82,0.91
"As a result, it is possible to prevent making useless efforts for realizing quantum computers that are judged to be impossible",19,-0.00,0.86,0.86,0.97
"Shor’s algorithm “just made it absolutely clear that you have to drop everything” to work on quantum computing, Vazirani says",18,0.02,0.85,0.84,0.92
"Moreover, error correction strategies for classical computers could not be used in quantum computers",35,0.14,0.84,0.82,0.90
"in New York, who developed unbreakable forms of quantum cryptography",10,0.06,0.79,0.84,0.90
The Chicago Quantum Exchange (CQE) is an intellectual hub for advancing the science and engineering of quantum information,34,0.09,0.84,0.89,0.99
The addition of QPhoton expands its capacity to develop photonic-based quantum systems,30,-0.02,0.90,0.88,0.75
Quantum information processing for solving real-world problems is available now,2,0.01,0.91,0.94,0.78
The Programme will focus on developing quantum hardware and quantum materials as well as algorithms to deliver a quantum computer that can solve tasks which today are insolvable,8,0.08,0.92,0.92,0.87
"seven years of the twelve-year collaboration, the researchers and engineers will develop the materials and hardware for the quantum computer",39,0.05,0.85,0.82,0.97
"We will spend seven years identifying the platform that offers the greatest opportunity to build a usable quantum computer,” explained Peter Krogstrup Jeppesen, Professor, Nils Bohr Institute, University of Copenhagen, who is leading the Quantum Computing Programme",1,-0.06,0.79,0.85,0.90
"Australian quantum computing manufacturer Silicon Quantum Computing (SQC) recently announced the world’s first integrated circuit manufactured at the atomic scale, and is leading the world in developing silicon-based quantum computing",36,0.08,0.83,0.86,0.63
already collecting and archiving encrypted data with the view to crack them later when quantum technology is available,28,0.01,0.88,0.88,0.92
This fact provides the fundamental basis of quantum information theory and quantum cryptography,22,0.03,0.79,0.85,0.84
"are not looking to compete against organisations like Google, Microsoft, IBM and Intel and others who are racing to build quantum computers",8,0.08,0.92,0.94,0.67
that are developing quantum computers and devices,30,-0.02,0.90,0.94,0.78
Kaufman won for his work in advancing the control of atoms and molecules to improve atomic clocks and quantum information processing,9,0.04,0.78,0.86,0.87
"This partnership will help elevate emerging quantum research by giving our students and researchers access to the cutting-edge technologies and expertise held at Xanadu,"" explained Sylvain Charbonneau,",4,-0.00,0.71,0.85,0.96
The mission is to develop and build quantum computing hardware and algorithms for a quantum computer that can solve important problems in the life sciences,39,0.05,0.85,0.86,0.96
"In the first 7 years, the Programme will focus on developing materials and hardware to build qubits",29,0.07,0.85,0.86,0.87
These atom arrays can function as quantum processors and are strong contenders for building a quantum computer capable of solving certain computational problems much faster,34,0.09,0.84,0.92,0.86
"The IAEA has been at the forefront of coordinating international collaboration, research and development in quantum technologies aligned with national and international initiatives,” said Aliz Simon, a nuclear physicist",34,0.09,0.84,0.82,0.87
"Last month, search engine company Baidu reported it had developed a quantum computer, joining the ranks of quantum developers like Google, IBM, and Intel",10,0.06,0.79,0.80,0.93
"Even when quantum computing’s science is established, there will be challenges like familiarizing the industry with a computing system that",28,0.01,0.88,0.92,0.98
you can take advantage of the quantum computing algorithms to solve these very complicated problems,1,-0.06,0.79,0.83,0.98
They enable the creation of qubits that,3,0.01,0.84,0.91,0.74
The company will combine these emerging technologies at Cambridge Quantum Computing,31,0.01,0.78,0.80,0.98
"IonQ will make sense, although the company is loss-making",2,0.01,0.91,0.86,0.96
Rigetti Computing (NASDAQ:RGTI) provides quantum computing systems and services,21,0.02,0.87,0.96,0.58
that quantum computing is still in its early stages,11,0.12,0.95,0.98,0.51
A compact device that manipulates atoms to store quantum information could be a step towards building a quantum internet that could transmit exceptionally secure information across fibre-optic cables,34,0.09,0.84,0.88,0.86
"quantum photonics provides a stable, compact, and robust platform for the implementation of complex photonic circuits amenable to mass manufacture, and also allows for the generation, detection, and processing of quantum states of light at a growing system’s scale, functionality, and complexity",22,0.03,0.79,0.86,0.96
Our finding enhances the prospects of silicon-based hole spin qubits for scalable quantum information processing,32,-0.01,0.83,0.83,0.85
the global effort to build scalable quantum processors,26,0.16,0.94,0.99,0.68
"CDPH provides multiple resources, including a Q",7,0.74,0.97,1.00,0.13
"Further, the company builds quantum computers and the underlying superconducting quantum processors for some of the top organizations",29,0.07,0.85,0.91,0.68
"The Danish foundation behind drugmaker Novo Nordisk will invest $200 million to build a quantum computer capable of solving some of the most challenging scientific problems in the development of new medicines and ""green"" technologies",0,-0.00,0.76,0.82,0.93
Researchers will work to develop both quantum hardware as well as algorithms that could be used by a quantum computer,39,0.05,0.85,0.88,1.00
"The press release announces an effort "" to establish the first full-scale quantum computer for the development of new medicines",36,0.08,0.83,0.87,0.69
The Danish foundation behind drugmaker Novo Nordisk will invest $200 million to build a quantum computer capable of solving some of the most challenging scientific problems in the development of new medicines and “green” technologies,0,-0.00,0.76,0.82,0.93
Quantum circuit simulation is critical for developing applications and algorithms for quantum computers,12,0.02,0.87,0.94,0.97
"NVIDIA cuQuantum is a software development kit (SDK) that enables users to easily accelerate and scale quantum circuit simulations with GPUs, facilitating a new capacity for exploration on the path to quantum advantage",27,0.05,0.87,0.89,0.82
Google has built a quantum computer that’s about 158 million times faster than the world’s fastest supercomputer,29,0.07,0.85,0.83,0.81
the PsiQuantum team established its goal to build a million qubit,29,0.07,0.85,0.87,0.89
Consistency and fidelity are critical to the performance of photonic quantum computers,12,0.02,0.87,0.90,0.82
PsiQuantum chose to use photons to build its quantum computer for several reasons,29,0.07,0.85,0.83,0.89
We believed we had cracked the code for building a million-qubit quantum computer,18,0.02,0.85,0.83,0.85
We are now building quantum chips next to laptops and cell phone chips on the GlobalFoundries 300-millimeter platform,29,0.07,0.85,0.85,0.81
PsiQuantum was founded on the belief that photonics was the right technology for building a fault tolerant quantum machine with a million qubits,34,0.09,0.84,0.82,0.86
optical switch is a key part of PsiQuantum’s plans to build a scalable million qubit quantum computer,8,0.08,0.92,0.95,0.80
This enables Q to surface Player Name as an option,3,0.01,0.84,0.84,0.82
"The MEXT Q-LEAP Flagship project, led by researchers from the Tokyo Institute of Technology and Yazaki Corporation, has developed a prototype diamond quantum sensor that can measure currents over a wide range with milliampere-level precision",10,0.06,0.79,0.85,0.85
seven years finding the platform that offers the greatest opportunity to build a usable quantum computer,26,0.16,0.94,0.89,0.92
